siren_clean,departement,commune_insee
301056099,54,
301072690,60,
301073003,75,
301073300,63,
301073490,75,
301073631,86,
301073706,60,
301073714,60,
301073730,59,
301073789,80,
301073904,59,
301074258,63,
301074647,75,
301074837,25,
301075057,2B,
301075065,2B,
301075131,2B,
301075164,2A,
301075198,84,
301075214,2A,
301075594,75,
301075735,13,
301075867,13,
301076154,78,
301076352,13,
301076600,13,
301076683,13,
301095923,91,
301095931,91,
301096236,86,
301096350,95,
301096772,75,
301096947,93,
301097283,89,
301097507,75,
301097598,67,
301097770,75,
301097796,53,
301097812,77,
301097846,29,
301097937,70,
301098182,75,
301098356,75,
301098364,68,
301098380,75,
301098604,92,
301098885,64,
301098943,66,
301099156,66,
301099255,88,
301099347,40,
301099537,59,
301099651,59,
301099701,62,
301099909,51,
301100186,38,
301100194,71,
301100210,35,
301100756,14,
301101341,13,
301101507,33,
301101697,13,
301101804,07,
301101812,30,
301101887,06,
301102398,06,
301102604,17,
301102778,02,
301123097,91,
301123121,93,
301123196,91,
301123626,75,
301123691,92,
301123964,74,
301124251,69,
301124590,64,
301125274,57,
301125324,54,
301125555,57,
301125803,50,
301125845,75,
301126017,49,
301126066,59,
301126124,47,
301126207,44,
301126330,44,
301126421,44,
301126736,13,
301126785,27,
301126975,17,
301127759,44,
301127767,27,
301127841,27,
301159828,28,
301159885,93,
301159919,94,
301160412,69,
301160594,92,
301160743,63,
301160750,92,
301160834,41,
301160933,75,
301161014,91,
301161071,57,
301161121,94,
301161170,75,
301161287,78,
301161659,85,
301161881,77,
301161972,81,
301162129,85,
301162186,79,
301162194,75,
301162442,75,
301162459,75,
301162533,75,
301163085,75,
301163127,75,
301163457,75,
301163523,75,
301163614,69,
301163622,85,
301163879,73,
301163978,73,
301163994,73,
301164273,74,
301164331,75,
301164372,73,
301164380,70,
301164901,69,
301165114,74,
301165148,69,
301165213,69,
301165312,69,
301165387,69,
301165445,68,
301165502,69,
301165544,68,
301165627,67,
301165650,74,
301165700,69,
301165726,73,
301165841,69,
301165908,75,
301165932,74,
301166120,69,
301166138,69,
301166179,69,
301166278,31,
301166294,64,
301166443,62,
301166872,53,
301167276,49,
301167359,49,
301167565,44,
301168290,49,
301168522,34,
301168696,31,
301168704,29,
301168720,34,
301168753,44,
301168936,64,
301168985,32,
301168993,34,
301169058,49,
301169074,31,
301169082,44,
301169116,31,
301169421,26,
301169447,26,
301169546,26,
301169686,29,
301169736,26,
301169744,29,
301169785,26,
301169850,26,
301170098,01,
301170148,01,
301170197,01,
301170247,01,
301170429,01,
301170528,01,
301170536,01,
301170650,01,
301170692,01,
301170767,26,
301170981,16,
301171013,2B,
301171088,01,
301171104,2B,
301171138,16,
301171161,07,
301187373,84,
301187431,84,
301187555,87,
301187811,83,
301187910,88,
301188074,94,
301188280,79,
301188454,94,
301188728,76,
301188736,76,
301189718,69,
301189791,63,
301189965,67,
301190526,64,
301190534,64,
301190757,69,
301190765,74,
301190773,56,
301190864,57,
301190872,56,
301191391,50,
301191581,50,
301191649,50,
301191698,75,
301191946,47,
301192100,44,
301192142,92,
301192225,42,
301192258,42,
301192464,77,
301192803,69,
301193124,2B,
301193199,2B,
301193298,26,
301193389,26,
301193454,26,
301193520,26,
301193538,26,
301193546,26,
301194031,17,
301194494,13,
301194825,14,
301195772,36,
301195947,37,
301204277,51,
301209920,93,
301210480,80,
301210498,89,
301210555,80,
301210563,92,
301210696,51,
301211074,27,
301211116,60,
301211637,53,
301211736,51,
301211918,76,
301212023,45,
301212106,44,
301212189,44,
301212510,38,
301212890,16,
301213211,01,
301213476,10,
301213625,28,
301213708,31,
301222378,75,
301222568,49,
301222618,44,
301222931,37,
301223285,28,
301223319,28,
301223368,27,
301223418,70,
301223673,13,
301223772,14,
301224010,44,
301224028,56,
301224358,06,
301239596,82,
301239604,94,
301239661,95,
301240040,65,
301240107,66,
301240768,79,
301240933,47,
301241410,85,
301241436,64,
301241501,33,
301241618,35,
301241626,35,
301241642,35,
301241766,78,
301241972,31,
301242178,06,
301242269,31,
301242400,2A,
301242418,2B,
301242533,24,
301242681,24,
301242871,31,
301242889,31,
301251682,64,
301251880,75,
301251906,75,
301252870,35,
301252920,59,
301253233,31,
301253571,77,
301253621,35,
301253688,77,
301254033,08,
301254108,76,
301271342,78,
301271565,11,
301271656,78,
301272035,77,
301272068,77,
301272209,77,
301272258,77,
301272811,93,
301273264,77,
301273280,75,
301273447,64,
301273454,67,
301273462,68,
301273611,62,
301273652,59,
301273678,62,
301273751,67,
301273991,67,
301274213,72,
301274668,95,
301275319,56,
301275566,33,
301275723,29,
301275947,29,
301275962,29,
301276069,27,
301276127,69,
301276192,23,
301276358,22,
301276473,22,
301276713,34,
301276903,35,
301276986,07,
301277109,40,
301277257,33,
301291688,92,
301291738,93,
301291878,91,
301292132,78,
301292173,93,
301292272,85,
301292280,85,
301292603,75,
301292637,63,
301292660,94,
301292702,75,
301292736,69,
301292892,69,
301292959,75,
301293049,71,
301293114,64,
301293320,61,
301293338,61,
301293379,44,
301293510,78,
301293577,62,
301293593,59,
301293718,59,
301293783,76,
301293999,75,
301294658,38,
301294872,44,
301294898,40,
301295044,33,
301295168,38,
301295200,52,
301295283,57,
301295994,53,
301296273,75,
301296463,08,
301296588,01,
301309654,75,
301309688,79,
301309936,75,
301310330,78,
301310645,92,
301311106,69,
301311395,59,
301311452,59,
301311999,49,
301312096,49,
301312179,49,
301312195,49,
301312211,92,
301312260,33,
301312559,25,
301312724,33,
301312765,24,
301312930,17,
301312955,17,
301313078,01,
301313250,16,
301313359,02,
301313805,34,
301328753,87,
301329017,87,
301329272,91,
301329413,71,
301329579,74,
301329645,74,
301330171,95,
301330221,69,
301330247,59,
301330288,59,
301330643,69,
301331054,21,
301331146,62,
301331757,17,
301331922,13,
301332060,23,
301332094,19,
301332185,16,
301340584,92,
301340873,86,
301341012,33,
301341145,34,
301341269,75,
301341418,95,
301341509,62,
301341517,62,
301341657,59,
301341756,59,
301341798,49,
301341988,38,
301342036,42,
301342598,21,
301342796,07,
301343174,69,
301350161,74,
301350229,74,
301350245,44,
301350468,69,
301350542,40,
301350799,64,
301350955,40,
301351029,40,
301351078,38,
301351136,44,
301351433,31,
301351722,33,
301352001,33,
301352290,49,
301352365,40,
301352480,38,
301352530,46,
301364568,85,
301364824,92,
301365136,88,
301365177,85,
301365268,73,
301365326,85,
301365573,69,
301365706,57,
301366175,54,
301366647,74,
301366886,42,
301367017,26,
301367132,38,
301367173,17,
301367249,47,
301367553,06,
301367561,32,
301374336,69,
301374633,69,
301374690,68,
301374872,26,
301374922,69,
301374963,75,
301374997,67,
301375010,69,
301375655,42,
301392270,80,
301392304,95,
301392437,74,
